"trackingNumber","refCustom1","cloudProfileId","shipType"
"9274890249306900013547","1594109","897","0"
"9274890249306900015626","1593497","897","0"
"GM275351961000176","1594305","897","0"
"9274890249306900011383","1594138","897","0"
"9274890249306900011772","1594319","897","0"
"9274890249306900013653","1593678","897","0"
"9274890249306900010690","1593852","897","0"
"9274890249306900010744","1594238","897","0"
"GM275351961000201","1593983","897","0"
"9274890249306900013301","1593401","897","0"
"GM275351961000245","1594037","897","0"
"9274890249306900014650","1593515","897","0"
"9274890249306900014704","1593510","897","0"
"9274890249306900015480","1593640","897","0"
"9274890249306900010027","1593908","897","0"
"9274890249306900010256","1593569","897","0"
"9274890249306900010386","1593520","897","0"
"9274890249306900010515","1593513","897","0"
"9274890249306900010553","1593507","897","0"
"9274890249306900011727","1593538","897","0"
"9274890249306900012335","1593750","897","0"
"9274890249306900013394","1593749","897","0"
"9274890249306900013516","1594113","897","0"
"9274890249306900013806","1594259","897","0"
"9274890249306900014261","1593582","897","0"
"9274890249306900014469","1594132","897","0"
"9274890249306900014520","1593541","897","0"
"9274890249306900014834","1593469","897","0"
"9274890249306900015046","1593857","897","0"
"9274890249306900015206","1593643","897","0"
"9274890249306900010089","1593850","897","0"
"9274890249306900010195","1593588","897","0"
"GM275351961000190","1593603","897","0"
"9274890249306900010317","1593559","897","0"
"9274890249306900010638","1593478","897","0"
"9274890249306900010966","1593503","897","0"
"GM275351961000202","1593962","897","0"
"9274890249306900011284","1594107","897","0"
"9274890249306900011437","1594076","897","0"
"9274890249306900011697","1593395","897","0"
"9274890249306900011864","1594236","897","0"
"9274890249306900012243","1594153","897","0"
"GM275351961000230","1593736","897","0"
"GM275351961000235","1593546","897","0"
"GM275351961000236","1593485","897","0"
"9274890249306900012588","1594123","897","0"
"9274890249306900012649","1594063","897","0"
"9274890249306900012809","1594274","897","0"
"9274890249306900013165","1593945","897","0"
"9274890249306900013219","1594197","897","0"
"GM275351961000246","1593823","897","0"
"9274890249306900014032","1594209","897","0"
"9274890249306900014056","1593606","897","0"
"9274890249306900014322","1593955","897","0"
"9274890249306900014360","1593924","897","0"
"9274890249306900014766","1594088","897","0"
"9274890249306900014797","1593824","897","0"
"9274890249306900015688","1593536","897","0"
"9274890249306900015794","1593817","897","0"
"9274890249306900015817","1593812","897","0"
"9274890249306900015831","1593805","897","0"
"9274890249306900016043","1593400","897","0"
"9274890249306900009922","1593658","897","0"
"GM275351961000179","1594159","897","0"
"9274890249306900010041","1593621","897","0"
"9274890249306900010140","1593778","897","0"
"9274890249306900010157","1593987","897","0"
"GM275351961000194","1593473","897","0"
"9274890249306900010423","1593922","897","0"
"9274890249306900010539","1593885","897","0"
"9274890249306900010577","1593876","897","0"
"9274890249306900010669","1594258","897","0"
"9274890249306900010713","1593455","897","0"
"9274890249306900010874","1593422","897","0"
"9274890249306900010928","1593575","897","0"
"9274890249306900010997","1593404","897","0"
"9274890249306900011024","1593393","897","0"
"9274890249306900011109","1594170","897","0"
"9274890249306900011154","1593767","897","0"
"GM275351961000203","1593951","897","0"
"9274890249306900011253","1594115","897","0"
"9274890249306900011277","1593733","897","0"
"GM275351961000208","1593607","897","0"
"9274890249306900011505","1593550","897","0"
"9274890249306900011581","1594308","897","0"
"9274890249306900011741","1593868","897","0"
"9274890249306900011895","1594229","897","0"
"9274890249306900012045","1594207","897","0"
"9274890249306900012212","1593776","897","0"
"GM275351961000228","1593818","897","0"
"9274890249306900012359","1594261","897","0"
"9274890249306900012472","1594184","897","0"
"9274890249306900012724","1593960","897","0"
"9274890249306900012847","1594011","897","0"
"9274890249306900012908","1594253","897","0"
"9274890249306900012946","1594245","897","0"
"9274890249306900013332","1594165","897","0"
"9274890249306900013622","1593684","897","0"
"9274890249306900013646","1594182","897","0"
"9274890249306900013684","1594286","897","0"
"9274890249306900013738","1594072","897","0"
"9274890249306900013776","1594053","897","0"
"9274890249306900014001","1593936","897","0"
"9274890249306900014018","1593613","897","0"
"9274890249306900014087","1593894","897","0"
"9274890249306900014179","1593804","897","0"
"9274890249306900014308","1593572","897","0"
"9274890249306900014339","1593690","897","0"
"9274890249306900014438","1593554","897","0"
"9274890249306900014490","1593558","897","0"
"9274890249306900014643","1593479","897","0"
"9274890249306900014681","1593867","897","0"
"9274890249306900014902","1594013","897","0"
"9274890249306900014957","1593789","897","0"
"9274890249306900015039","1593950","897","0"
"9274890249306900015275","1593828","897","0"
"9274890249306900015329","1593617","897","0"
"9274890249306900015374","1593728","897","0"
"9274890249306900015503","1593580","897","0"
"9274890249306900015718","1593846","897","0"
"9274890249306900015749","1593491","897","0"
"9274890249306900015961","1593780","897","0"
"9274890249306900016081","1593758","897","0"
"9274890249306900016111","1593179","897","0"
"9274890249306900016159","1593729","897","0"
"9274890249306900016302","1594097","897","0"
"9274890249306900009861","1593680","897","0"
"GM275351961000177","1594293","897","0"
"9274890249306900009908","1594006","897","0"
"9274890249306900009915","1594036","897","0"
"GM275351961000178","1594225","897","0"
"9274890249306900009946","1594028","897","0"
"9274890249306900009977","1594023","897","0"
"GM275351961000180","1594137","897","0"
"9274890249306900009991","1593920","897","0"
"9274890249306900010010","1593627","897","0"
"9274890249306900010034","1594005","897","0"
"GM275351961000182","1593899","897","0"
"9274890249306900010065","1593999","897","0"
"9274890249306900010072","1593615","897","0"
"GM275351961000184","1593869","897","0"
"9274890249306900010133","1593598","897","0"
"GM275351961000185","1593783","897","0"
"9274890249306900010164","1593594","897","0"
"9274890249306900010171","1593746","897","0"
"9274890249306900010201","1593725","897","0"
"9274890249306900010218","1593975","897","0"
"GM275351961000188","1593647","897","0"
"9274890249306900010249","1593969","897","0"
"GM275351961000189","1593636","897","0"
"9274890249306900010263","1593674","897","0"
"9274890249306900010270","1593963","897","0"
"9274890249306900010294","1593638","897","0"
"9274890249306900010300","1593957","897","0"
"GM275351961000192","1593533","897","0"
"9274890249306900010362","1593946","897","0"
"GM275351961000193","1593490","897","0"
"9274890249306900010393","1593937","897","0"
"9274890249306900010409","1593539","897","0"
"9274890249306900010447","1593471","897","0"
"9274890249306900010485","1593396","897","0"
"9274890249306900010492","1593889","897","0"
"9274890249306900010522","1594320","897","0"
"9274890249306900010584","1594269","897","0"
"9274890249306900010607","1594315","897","0"
"9274890249306900010645","1594310","897","0"
"9274890249306900010652","1593859","897","0"
"9274890249306900010676","1593465","897","0"
"9274890249306900010720","1594111","897","0"
"9274890249306900010775","1593840","897","0"
"9274890249306900010799","1593440","897","0"
"9274890249306900010812","1593832","897","0"
"9274890249306900010836","1593435","897","0"
"9274890249306900010843","1593669","897","0"
"9274890249306900010904","1594208","897","0"
"9274890249306900010911","1593417","897","0"
"9274890249306900010942","1594204","897","0"
"9274890249306900010973","1593811","897","0"
"GM275351961000197","1594264","897","0"
"9274890249306900011086","1593383","897","0"
